ash
back
belly
bird
bone
claw
cloud
day
dog
ear
earth
egg
eye
fire
flesh
flower
fog
fruit
guts
hand
heart
horn
ice
knee
lake
leaf
leg
liver
louse
man
moon
mouth
name
neck
night
nose
path
person
river
rope
sand
seed
skin
sky
smoke
snake
star
stone
sun
tail
tongue
tooth
water
wing
woman
worm
